
SUBSTR(T.CALLED,1,7)					   COUNT(*)
1703447 							  2
1706436 							  1
1706761 							  2

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
1708532 							  1
1717225 							  1
1719055 							  1
1728523 							  3
1740275 							  2
1740592 							  1
1758627 							  3
1763229 							  2
1765274 							  1
1770163 							  1
1770289 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
1770521 							  1
1772266 							  1
1772940 							  4
1773262 							  4
1773491 							  1
1776308 							  1
1778935 							  1
1792923 							  2
1800021 							  1
1800703 							  1
1801549 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
1801898 							  1
1801941 							  5
1802002 							  2
1804002 							  1
1807077 							  1
1807701 							  3
1807702 							  2
1807703 							  3
1816499 							  1
1817729 							  3
1822451 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
1850420 							  1
1861188 							  2
1862683 							  2
1870378 							  1
1874623 							  1
1881038 							  1
1882131 							  1
1883013 							  1
1888888 							  1
1893916 							  8
1898002 							  2

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
1909354 							  1
1913314 							  3
1913515 							  1
1914227 							 16
1917607 							  1
1919771 							  2
1920366 							  1
1924803 							  1
1931216 							  1
1931220 							  4
1931338 							 23

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
1931561 							  1
1931606 							  1
1931624 							  4
1955065 							  1
1966567 							  2
1985322 							  1
1993248 							  2
1995780 							  2
1999077 							  8
1999654 							  1
1999700 							  8

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
1999770 							  6
19bbbbb 							  1
20006#1 							  1
2001522 							  1
2003099 							  1
2006019 							  1
2006091 							  1
2010102 							 30
2010103 							  1
2010230 							  3
2010244 							  4

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
2010251 							  3
2010260 							  5
2010301 							  4
2010356 							  1
2010366 							  2
2010376 							  1
2010403 							  2
2010428 							  5
2010450 							  4
2010451 							  2
2010457 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
2010509 							  1
2010530 							  9
2010553 							  2
2010629 							  3
2010631 							 11
2010665 							  3
2010683 							  3
2010704 							  1
2010733 							  2
2010752 							  1
2010756 							  4

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
2010765 							  4
2010779 							  1
2010788 							  2
2010840 							  6
2010857 							  2
2010875 							  4
2010898 							  1
2010900 							  2
2010904 							  1
2010916 							  1
2010921 							  6

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
2012182 							  2
2012187 							  2
2012199 							  2
2012222 							 30
2012234 							  1
2012290 							  1
2012355 							 10
2012423 							  2
2012574 							  1
2012660 							  4
2012661 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
2012680 							  1
2012819 							  6
2012829 							  1
2012846 							  2
2012856 							  1
2016079 							  1
2025843 							  1
2028555 							  2
2046259 							  1
2073011 							  1
2077019 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
2077020 							  3
2082219 							  4
2092868 							  3
2098135 							  1
2108827 							  1
2121222 							  1
2121545 							  1
2123211 							  4
2124536 							  1
2126099 							  3
2126408 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
2126488 							  1
2127023 							  1
2127122 							  2
2135462 							  2
2135817 							  1
2136010 							  1
2137082 							  1
2137266 							  1
2137534 							  1
2139271 							  1
2160420 							  2

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
2161315 							  1
2162319 							  1
2169669 							  2
2180602 							  2
2183780 							  1
2209598 							  1
2221115 							  1
2222222 							 19
2222226 							  1
2222252 							  1
2222555 							  2

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
2222964 							  1
2228796 							  2
2232255 							  1
2234187 							  1
2250321 							  1
2260770 							  1
2271634 							  2
2272043 							  2
2272255 							  1
2295892 							  9
2323002 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
2324586 							  1
2327035 							  3
2327055 							  1
2329472 							  1
2362366 							  1
2365412 							  1
2365488 							  1
2378608 							  1
2391522 							  2
2403555 							  1
2460134 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
2470704 							  4
2489820 							 17
2489829 							  1
2504132 							  1
2525252 							  1
2542895 							  1
2543386 							  3
2549773 							  1
2551366 							  3
2553522 							  1
2554112 							  3

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
2555528 							  1
2555a07 							  1
2556645 							  1
2557843 							  1
2565995 							  4
2580000 							  2
2719121 							  1
2719123 						       1728
2719129 							  1
2719131 							  1
2754588 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
2772119 							  1
2772573 							  1
2776176 							  3
2776880 							  1
2782263 							  8
2784249 							  1
2790183 							  1
2793464 							  5
2823667 							  1
3009627 							  1
3017068 							  4

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
3021469 							  1
3031420 							  2
3054200 							  3
3060208 							  1
3060778 							  1
3069394 							  3
3069587 							  1
3069760 							  1
3069786 							  2
3069790 							  7
3069795 							  3

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
3077021 							  1
3079015 							  1
3079037 							  1
3080094 							  3
3082480 							  1
3083497 							  1
3110135 							  1
3125885 							  1
3129976 							  1
3131313 							  1
3133333 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
3136749 							  2
3138363 							  2
3139393 							  1
3143625 							  1
3150750 							  1
3156811 							  2
315a077 							  1
315a202 							  1
3163845 							  3
3164020 							  1
3164939 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
3168720 							  1
3170085 							  1
3170807 							  1
3171177 							  1
3172753 							  1
3181790 							  1
3184955 							  1
3188822 							  1
3191991 							  3
3207703 							  2
3216549 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
3222000 							  1
3225664 							  1
3226798 							  1
3233333 							  1
3247866 							  1
3248475 							  1
3265401 							  1
3265456 							  1
3280662 							  1
3300259 							  2
3300580 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
3300714 							  1
3301049 							  1
3301333 							  1
3301558 							  1
3303170 							  1
3304329 							  3
3304375 							  1
3305792 							  1
3305959 							  1
3308956 							  1
3309030 							  3

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
3322222 							  2
3330770 							  2
3331862 							  2
3332211 							  1
3332222 							  1
3332580 							  1
3333205 							  1
3333333 							 20
3333337 							  1
3333981 							  1
3335255 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
3335533 							  1
3336633 							  3
3367821 							  1
3373537 							  1
3399999 							  1
3404607 							  1
3461717 							  2
34649*2 							  1
3466474 							  2
3491735 							  1
3525318 							 10

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
3526352 							  1
3531420 							  1
3533560 							  1
3540957 							  1
3555555 							  1
3557848 							  1
3577207 							  1
3579995 							  1
3580032 							  1
3584057 							  6
3584144 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
3591974 							  1
3592391 							  2
3598857 							  6
3600000 							  1
3601518 							  2
3604263 							  1
3655883 							  1
3666666 							  1
3692580 							  1
3693247 							  1
3699807 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
3711334 							  1
3711877 							  1
3718757 							  1
3719123 							  6
3737303 							  1
3749387 							  2
3805030 							  4
3806734 							  1
3809551 							  5
3809736 							 17
3809789 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
3809792 							  3
3809794 							  2
3816315 							  2
3816375 							  1
3861639 							  1
3863895 							  3
3870227 							  1
3879985 							  2
3883913 							  1
3884624 							  1
3886424 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
3891511 							  1
39*0770 							  1
3911284 							  1
3948512 							  1
4008558 							  1
4009684 							  1
4011830 							  1
4016378 							  1
4017654 							  2
4031220 							  1
4031663 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
4041355 							  1
4049337 							  1
4058199 							  1
4060523 							  1
4061284 							  1
4061385 							  1
4061991 							  1
4062134 							  1
4062187 							  1
4062273 							  1
4062345 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
4072353 							  1
4072649 							  1
4077015 							  1
4077035 							  1
4082173 							  1
4167415 							  4
4168008 							  2
4169315 							  3
4175365 							  1
4176889 							  2
4178720 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
4178864 							  2
4178917 							  1
4201351 							  1
4201741 							  1
4207217 							  1
4207282 							  3
4207752 							  1
4301211 							  4
4310893 							  1
4355313 							  1
4365042 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
4374353 							  1
4407798 							  2
4420089 							  1
4420794 							 16
4421789 							  1
4422097 							  1
4433822 							  3
4444444 							  1
4457056 							  2
4470926 							  1
4476248 							  5

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
4477172 							  1
4477258 							 10
4477602 							  1
4477771 							  1
4477857 							 10
4477862 							  1
4477877 							  1
4477894 							  1
4478381 							  1
4478558 							  1
4478565 							  5

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
4478903 							  3
4478918 							  1
4478990 							  6
4479064 							  1
4479205 							  2
4479402 							  1
4479407 							  3
4479743 							  2
4485769 							  1
4497340 							  1
4509179 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
4521275 							  1
4521284 							  1
4525920 							  1
4526792 							  1
4526984 							  3
4527968 							 13
4528328 							  2
4528369 							  6
4528601 							  1
4528708 							  7
4548008 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
4548882 							  1
4548888 							  2
4560136 							  5
4560857 							  2
4561904 							  1
45630*2 							 12
4564523 							  2
4568785 							  1
4568866 							  1
4570697 							  1
4572131 							  8

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
4572403 							  1
4589555 							  1
4610920 							  2
4639232 							  1
4643021 							  2
4652331 							  4
4653718 							  1
4662902 							  1
4663348 							  1
4670401 							  1
4670413 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
4670429 							  1
4670435 							  1
4670475 							  2
4673580 							  1
4673583 							  1
4673599 							  2
4673643 							  2
4673649 							  2
4673672 							  4
4673721 							  1
4673751 							  3

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
4673758 							  3
4673759 							  1
4673772 							  1
4673780 							  2
4673787 							  3
4673843 							  3
4673922 							  1
4673931 							  3
4673971 							  4
4673990 							  4
4673999 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
4676214 							  1
4676264 							  1
4676280 							  8
4676295 							  2
4684830 							  1
4697472 							  2
4722942 							  1
4745075 							  1
4745437 							  1
4752811 							  1
4762136 							  4

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
4770101 							  1
4770114 							  5
4770159 							  2
4770180 							  2
4770244 							  1
4770274 							  1
4770303 							  1
4770308 							  1
4770321 							  6
4770330 							  1
4770345 							  6

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
4770358 							  1
4770360 							  1
4770378 							  2
4770385 							  1
4775212 							  1
4777619 							  1
4780110 							  1
4780259 							  1
4780307 							  1
4780368 							  5
4790175 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
4790216 							  1
4790234 							  1
4790376 							  2
4796436 							  1
4796653 							  2
4796668 							  1
4797561 							  1
4799859 							  1
4806028 							  3
4807537 							  2
4844785 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
4869866 							  3
4889968 							  2
4915114 							  7
4915115 							  4
4917030 							  6
4917084 							  2
4917261 							  3
4917331 							  1
4917622 							  5
4917623 							  4
4917624 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
4917628 							  2
4917629 							  4
4917660 							  1
4917661 							  7
4917665 							  3
4917667 							  3
4917983 							 16
4928896 							  2
4953318 							  2
4956075 							  1
4961766 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
5054503 							  1
5060769 							  1
5066664 							  1
5081278 							  2
5128574 							  1
5202143 							  1
5202483 							  1
5205835 							  1
5211492 							  1
5220825 							  2
5221845 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
5222168 							  1
5223936 							  1
5225776 							  7
5230790 							  9
5230852 							  3
5230979 							  1
5233755 							  1
5234544 							  1
5235231 							  1
5237187 							 10
5239375 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
5241789 							  1
5252525 							  1
5253333 							  1
5254107 							  6
5256325 							  1
5265453 							  1
5274361 							  1
5285244 							  1
5298156 							  1
5356567 							  2
5385262 							  3

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
5455556 							  1
5478550 							  1
5484387 							  1
5484882 							  1
5485463 							  1
5508574 							  6
5515555 							  1
5542555 							  1
5546224 							  1
5552220 							  1
5555555 							  7

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
5555666 							  1
5565541 							  1
5674648 							  1
5735781 							  1
5770166 							  1
5782011 							  4
5805838 							  1
5845885 							  1
5855555 							  2
5863332 							  1
5888666 							  3

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
5895485 							  2
6002964 							  3
6006105 							  1
6012244 							  4
6017990 							  1
6019375 							  2
6022285 							  1
6028266 							  3
6032199 							  9
6036311 							  2
6091312 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
6091604 							  2
6091778 							  1
6111499 							  1
6118530 							  2
6118764 							  2
6130402 							  1
6140311 							  1
6143150 							  1
6147476 							  1
6154954 							  3
6225456 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
6245425 							  2
6258342 							  1
6262222 							  2
6271614 							  2
6276042 							  2
6279610 							  1
6281382 							  1
6333333 							  1
6367391 							  2
6368551 							  1
6388521 							  2

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
6390627 							  1
6390648 							  1
6391643 							  1
6391746 							  2
6391747 							  1
6391751 							  1
6391778 							  1
6392045 							  1
6392688 							  1
6452541 							  1
6477017 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
6477018 							  2
6477020 							  1
6516757 							 19
6533634 							  1
6545674 							  1
6559514 							  1
6563569 							  1
659#453 							  1
6598325 							  1
6600000 							  1
6610038 							  2

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
6621147 							  1
6622227 							  1
6622711 							  1
6633336 							  1
6639046 							  1
6663336 							  1
666551* 							  1
6666666 							 29
6666669 							  1
6670467 							  3
6696914 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
6698047 							 11
6820438 							  2
6825609 							  2
6939672 							 47
7*####7 							  1
7004288 							  1
7007136 							  3
7007159 							  1
7007174 							  9
7007181 							 17
7007184 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7007206 							  1
7007237 							  4
7007253 							  1
7007291 							  2
7007300 							  4
7007303 							  2
7007359 							  2
7007377 							  1
7007379 							  3
7007384 							  1
7007385 							  2

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7007771 							  1
7010327 							  1
7011236 							  1
7012209 							  1
7012345 							  1
7015409 							  1
7015483 							  1
7015739 							  2
7015797 							  1
7015804 							  1
7016577 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7016627 							  1
7017098 							  1
7017958 							  1
7018254 							  1
7018308 							  1
7019147 							  1
7019350 							  1
7020459 							  1
7020705 							  1
7021215 							  1
7021338 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7022115 							  1
7022122 							  1
7022222 							 21
7023783 							  1
7024846 							  1
7025592 							  1
7032618 							  1
7033051 							  1
7034492 							  1
7035532 							  1
7037619 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7038809 							  2
7041526 							  1
7044112 							  1
7045332 							  5
7055522 							  1
7058555 							  1
7066618 							  1
7070522 							  1
7071600 							  1
7072019 							  1
7073658 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7077510 							  1
7080384 							  1
7085296 							  1
7090391 							  1
7093533 							  4
7094239 							  1
7118002 							  1
7119171 							  1
7143813 							  1
7150255 							  1
7150372 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7150378 							  4
7150420 							  4
7150782 							  2
7150888 							  2
7171712 							  1
7203231 							  2
7301139 							  1
7301154 							  1
7378399 							  1
7401160 							  1
7412583 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7456*74 							  2
7456914 							  1
7457454 							  1
7474642 							  1
7504071 							  2
7504198 							  3
7504464 							  1
7504506 							  1
7522676 							  1
7542407 							  2
7564197 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7572871 							  1
7581053 							  1
7627676 							  2
7647704 							  1
7701018 							  1
7701020 							  1
7701033 							  1
7701102 							  5
7701103 							  6
7701107 							  1
7701122 							  5

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7701144 							 21
7701221 							  3
7701230 							  3
7701249 							  1
7701259 							  2
7701272 							  1
7701300 							  1
7701303 							  5
7701305 							  1
7701307 							  1
7701309 							  3

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7701316 							  2
7701318 							  1
7701319 							  1
7701320 							  1
7701322 							  2
7701325 							 12
7701328 							  1
7701349 							  2
7701351 							 10
7701352 							  1
7701357 							  2

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7701383 							  1
7701415 							  1
7701516 							  9
7701600 							  4
7701601 							  1
7701622 							  1
7701628 							  1
7701631 							  2
7701637 							  1
7701658 							  3
7701667 							  2

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7701675 							  2
7701683 							  1
7701685 							  5
7701690 							  2
7701694 							  1
7701701 							  1
7701708 							  3
7701709 							  2
7701728 							  2
7701736 							  2
7701738 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7701757 							  2
7701759 							  2
7701789 							  1
7701809 							  1
7701861 							  1
7701881 							  1
7701882 							  1
7701893 							  1
7701903 							  1
7701996 							  2
7702006 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7702007 							  1
7702013 							  1
7702021 							  1
7702024 							  1
7702034 							  1
7702044 							  1
7702055 							  5
7702057 							  1
7702064 							  2
7702073 							  2
7702096 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7702098 							  1
7702099 							  1
7702152 							  1
7702267 							  1
7702306 							  1
7702311 							  1
7702317 							  1
7702336 							  1
7702344 							  2
7702365 							  3
7702368 							  2

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7702369 							  1
7702380 							  3
7702381 							  1
7702385 							  1
7702395 							  7
7702469 							  2
7702508 							  5
7702514 							 11
7702516 							  1
7702518 							  1
7702529 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7702555 							  1
7702558 							  1
7702566 							  4
7702568 							  1
7702569 							 12
7702586 							  1
7702619 							  1
7702639 							  1
7702640 							  1
7702646 							  2
7702655 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7702672 							  1
7702690 							  1
7702703 							  3
7702719 							  1
7702720 							  1
7702726 							  1
7702730 							  1
7702744 							  1
7702782 							  2
7702793 							  1
7702822 							  3

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7702844 							  1
7702848 							  1
7702885 							  1
7702895 							  3
7702917 							  3
7702919 							  1
7702934 							  1
7702937 							  1
7702944 							  1
7702958 							 11
7702966 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7702991 							  1
7703020 							  1
7703060 							  1
7703066 							  1
7703069 							  1
7703074 							  2
7703076 							  2
7703089 							  1
7703141 							  1
7703154 							  3
7703306 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7703447 							  1
7703450 							  2
7703473 							  1
7703556 							  5
7703563 							  1
7703574 							  1
7703580 							  1
7703590 							  1
7703604 							  1
7703722 							  1
7703738 							  2

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7703740 							  1
7703767 							  2
7703770 							  3
7703773 							  1
7703784 							  1
7703790 							  4
7703835 							  2
7703839 							  1
7703840 							  1
7703843 							  1
7703856 							  2

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7703864 							  6
7703881 							  1
7703883 							  1
7703906 							  1
7703915 							  1
7703929 							  2
7703964 							  1
7703967 							  1
7703977 							  4
7703982 							  1
7703985 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7703986 							  1
7703989 							  1
7704505 							  1
7704508 							  1
7704511 							  1
7704523 							  1
7704537 							  1
7705107 							  1
7705109 							  1
7705141 							  3
7705201 							  2

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7705206 							  4
7705524 							  1
7707727 							  1
7709953 							  1
7711991 							  1
7716720 							  1
7719927 							  1
7721646 							  1
7725217 							  4
7727554 							  3
7731255 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7740037 							  9
7770000 							  1
7770666 							  1
7772522 							  1
7777524 							  1
7777777 							  2
7782566 							  1
7783617 							  1
7784506 							  1
7788996 							  1
7789505 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
779#### 							  1
7801016 							  2
7801041 							  1
7801042 							  1
7801072 							  1
7801088 							  1
7801094 							  1
7801102 							  1
7801126 							  2
7801144 							  1
7801151 							  2

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7801156 							  1
7801160 							  1
7801208 							  1
7801231 							  1
7801269 							  2
7801271 							  1
7801457 							  1
7801500 							  3
7801617 							  6
7801652 							  1
7801731 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7801762 							  1
7801800 							  4
7801801 							  1
7801880 							  2
7801917 							  4
7801938 							  8
7801951 							  1
7802120 							  2
7802121 							  1
7802175 							  1
7802415 							  3

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7802454 							  1
7802594 							  1
7802636 							  1
7802675 							  1
7802706 							  2
7802735 							  1
7802776 							  1
7802833 							  1
7803005 							  1
7803051 							  1
7803058 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7803083 							  2
7803087 							  1
7803154 							  1
7803160 							  1
7803200 							  1
7803201 							  4
7803266 							  5
7803371 							  3
7803487 							  1
7803559 							  2
7803632 							 11

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7803651 							  1
7803672 							  2
7803850 							  1
7803958 							  2
7805964 							  6
7852085 							  1
7852139 							  1
7852963 							  3
7874125 							  1
7874335 							  9
7894561 							  2

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7896852 							  1
7901147 							  1
7901150 							  3
7901153 							  1
7901158 							  1
7901163 							  3
7901177 							  3
7901181 							  2
7901182 							  1
7901185 							  2
7901186 							  2

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7901193 							  8
7901195 							  1
7901197 							  2
7901203 							  1
7901205 							  6
7901206 							  3
7901212 							  1
7901213 							  1
7901219 							  2
7901223 							  2
7901226 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7901239 							  1
7901241 							  3
7901250 							  3
7901251 							  1
7901252 							 11
7901254 							  1
7901260 							  1
7901261 							  3
7901262 							  3
7901265 							  3
7901269 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7901273 							  1
7901275 							  2
7901278 							  2
7901280 							  3
7901288 							  2
7901291 							  4
7901292 							  1
7901293 							  1
7901294 							  1
7901295 							  1
7901305 							  5

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7901308 							  1
7901309 							  1
7901319 							  2
7901320 							  1
7901322 							  2
7901328 							  1
7901331 							  3
7901334 							  4
7901337 							  2
7901345 							  1
7901346 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7901347 							  2
7901357 							  9
7901359 							  1
7901366 							  1
7901370 							  1
7901373 							  1
7901374 							  2
7901381 							  1
7901386 							  1
7901387 							  1
7901390 							  3

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7901419 							  1
7901430 							  3
7901438 							  1
7901445 							  3
7901446 							  1
7901449 							  6
7901457 							  1
7901464 							  1
7901470 							  1
7901478 							  3
7901480 							  5

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7901482 							  1
7901483 							  3
7901491 							  1
7901496 							  3
7901503 							  3
7901505 							  1
7901506 							  4
7901508 							  1
7901509 							  1
7901513 							  3
7901515 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7901518 							  2
7901521 							  1
7901537 							  2
7901539 							  1
7901542 							  1
7901549 							  1
7901550 							  6
7901562 							  1
7901564 							  4
7901566 							  1
7901567 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7901573 							  1
7901575 							  2
7901583 							  1
7901587 							  1
7901594 							  1
7901604 							  1
7901605 							  1
7901606 							  1
7901610 							  4
7901614 							  1
7901615 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
7901617 							  1
7901630 							  1
7901634 							  2
7901635 							  1
